Nomor,Nama File,Due Date,PO Number,Tel,Email,Site,SUB_TOTAL,DISCOUNT,TAX,TOTAL,Bank Name,Branch Name,Bank Account Number,Bank Swift Code
49,Template1_Instance141.jpg,26-Aug-1994,99,+(950)606-1616,kerrpeter@example.net,http://www.livingston.com/,607.66 EUR,(-) 16.59,VAT (5.61%): 34.07 EUR,622.53 EUR,State Bank of California,Raf CAMP,17425856,SBININBB250
50,Template1_Instance142.jpg,03-May-1995,79,+(393)744-3819,marcus04@example.com,https://robinson.com/,897.84 $,(-) 25.05,VAT (5.44%): 48.80 $,902.29 $,Central Bank of Europe,Raf CAMP,16229064,SBININBB250
51,Template1_Instance143.jpg,26-Apr-2004,50,+(109)649-9082,wvaldez@example.org,https://dickson.com/,670.86 EUR,(-) 20.8,VAT (4.75%): 31.89 EUR,692.28 EUR,State Bank of Europe,Raf CAMP,17793668,SBININBB250
52,Template1_Instance144.jpg,03-Dec-2017,53,+(787)285-1421,dennisdecker@example.net,http://www.jones.info/,170.38 USD,(-) 8.08,VAT (3.66%): 6.24 USD,173.72 USD,State Bank of California,Raf CAMP,12970589,SBININBB250
53,Template1_Instance145.jpg,28-Sep-2005,95,+(134)074-9058,marciamaldonado@example.com,https://www.cooper-pearson.com/,503.46 EUR,(-) 14.1,VAT (6.38%): 32.14 EUR,515.97 EUR,State Bank of Europe,Raf CAMP,18377920,SBININBB250
54,Template1_Instance146.jpg,22-Jan-2017,99,+(994)746-4594,jacqueline23@example.net,http://cantu.com/,580.25 USD,(-) 24.08,VAT (6.48%): 37.60 USD,599.75 USD,State Bank of California,Raf CAMP,17658858,SBININBB250
55,Template1_Instance147.jpg,30-Jul-2008,42,+(843)436-8513,jimenezvincent@example.org,http://www.schultz-conley.com/,954.46 USD,(-) 47.15,VAT (5.07%): 48.43 USD,981.41 USD,Central Bank of Europe,Raf CAMP,12279861,SBININBB250
56,Template1_Instance148.jpg,08-Aug-2007,11,+(650)884-2283,cindykaiser@example.net,https://www.davis.com/,173.91 EUR,(-) 6.3,VAT (6.23%): 10.84 EUR,180.28 EUR,State Bank of Europe,Raf CAMP,13703780,SBININBB250
57,Template1_Instance149.jpg,22-Jan-2005,43,+(000)848-3067,medinapaul@example.net,https://www.walton-pacheco.com/,484.41 USD,(-) 21.9,VAT (4.03%): 19.54 USD,497.31 USD,State Bank of California,Raf CAMP,15872208,SBININBB250
58,Template1_Instance15.jpg,07-May-1998,64,+(255)644-5939,thompsonmatthew@example.com,http://www.jackson.com/,808.91 USD,(-) 39.88,VAT (6.06%): 49.00 USD,835.83 USD,Central Bank of California,Raf CAMP,18212245,SBININBB250
59,Template1_Instance150.jpg,23-May-2012,50,+(301)114-1388,wilsondavid@example.org,https://carr.info/,239.18 $,(-) 11.0,VAT (4.75%): 11.35 $,238.81 $,State Bank of England,Raf CAMP,19600859,SBININBB250
60,Template1_Instance151.jpg,12-Mar-2015,14,+(319)551-2386,mbrowning@example.net,http://www.wagner-davis.com/,474.90 $,(-) 14.06,VAT (4.46%): 21.17 $,480.87 $,State Bank of England,Raf CAMP,16156344,SBININBB250
61,Template1_Instance152.jpg,10-Dec-2004,62,+(091)553-6660,diazcraig@example.net,http://sanders-grant.org/,187.90 $,(-) 5.04,VAT (4.30%): 8.08 $,190.81 $,State Bank of USA,Raf CAMP,12730868,SBININBB250
62,Template1_Instance153.jpg,24-Sep-2000,79,+(927)714-9227,jacoblittle@example.net,http://gonzalez-tate.biz/,354.90 USD,(-) 15.9,VAT (5.47%): 19.40 USD,369.01 USD,Central Bank of Europe,Raf CAMP,17994867,SBININBB250
63,Template1_Instance154.jpg,03-Jan-2010,03,+(583)900-6885,douglasmatthew@example.net,http://www.fry.com/,316.03 $,(-) 7.27,VAT (4.60%): 14.54 $,316.95 $,State Bank of USA,Raf CAMP,10144982,SBININBB250
64,Template1_Instance155.jpg,19-May-2016,24,+(756)499-9090,kristin11@example.net,http://www.harding.com/,609.12 EUR,(-) 20.28,VAT (5.32%): 32.43 EUR,616.94 EUR,State Bank of California,Raf CAMP,10354619,SBININBB250
65,Template1_Instance156.jpg,21-Nov-1993,19,+(151)422-0492,breanna06@example.org,http://www.miller-jones.info/,795.31 EUR,(-) 33.4,VAT (6.64%): 52.81 EUR,810.02 EUR,Central Bank of Texas,Raf CAMP,18937705,SBININBB250
66,Template1_Instance157.jpg,13-Mar-2002,52,+(567)291-2696,cbarnes@example.org,http://www.stone.com/,1143.19 $,(-) 47.1,VAT (3.82%): 43.67 $,1153.71 $,State Bank of Texas,Raf CAMP,18363821,SBININBB250
67,Template1_Instance158.jpg,04-Feb-2014,46,+(600)077-3163,ldennis@example.net,http://watson.biz/,86.50 EUR,(-) 1.51,VAT (5.12%): 4.43 EUR,89.57 EUR,Central Bank of Texas,Raf CAMP,15129883,SBININBB250
68,Template1_Instance159.jpg,11-Jun-2014,10,+(844)968-4528,dawn66@example.net,http://rodriguez.com/,807.94 USD,(-) 19.07,VAT (5.24%): 42.35 USD,839.38 USD,State Bank of USA,Raf CAMP,13298844,SBININBB250
69,Template1_Instance16.jpg,20-Mar-2022,19,+(230)837-6011,kevin82@example.org,https://www.blackwell.com/,1268.11 $,(-) 15.72,VAT (5.83%): 73.98 $,1305.31 $,Central Bank of Texas,Raf CAMP,19514786,SBININBB250
70,Template1_Instance160.jpg,31-Aug-2014,40,+(105)718-2138,laura13@example.com,http://braun.com/,249.87 $,(-) 7.85,VAT (4.86%): 12.15 $,254.50 $,State Bank of England,Raf CAMP,17422639,SBININBB250
71,Template1_Instance161.jpg,16-Sep-1997,65,+(931)638-6287,colleencarter@example.net,http://www.palmer.com/,618.89 EUR,(-) 25.44,VAT (6.75%): 41.76 EUR,630.20 EUR,State Bank of USA,Raf CAMP,14451276,SBININBB250
72,Template1_Instance162.jpg,19-Aug-1995,84,+(635)255-6209,meganlopez@example.com,https://lloyd.org/,490.48 $,(-) 18.83,VAT (3.11%): 15.27 $,494.57 $,Central Bank of California,Raf CAMP,10041163,SBININBB250
73,Template1_Instance163.jpg,25-Apr-2006,67,+(568)061-9778,felicia16@example.net,https://www.daugherty-west.info/,491.09 EUR,(-) 22.59,VAT (4.17%): 20.47 EUR,488.97 EUR,Central Bank of California,Raf CAMP,19260637,SBININBB250
74,Template1_Instance164.jpg,11-Nov-2022,64,+(829)769-6056,stuartsue@example.org,http://www.hoffman-scott.com/,603.54 EUR,(-) 9.23,VAT (3.23%): 19.52 EUR,613.64 EUR,Central Bank of Texas,Raf CAMP,10133392,SBININBB250
75,Template1_Instance165.jpg,23-Feb-2012,89,+(813)475-5416,patricia86@example.org,https://www.deleon.com/,173.25 EUR,(-) 5.53,VAT (3.96%): 6.85 EUR,176.69 EUR,Central Bank of Texas,Raf CAMP,15631840,SBININBB250
76,Template1_Instance166.jpg,03-Feb-1999,34,+(182)419-3761,smithrichard@example.org,http://www.stone.com/,318.08 USD,(-) 13.2,VAT (6.24%): 19.83 USD,330.18 USD,State Bank of Texas,Raf CAMP,10936049,SBININBB250
77,Template1_Instance167.jpg,08-Oct-2010,88,+(779)201-2391,millerdavid@example.net,http://garner.com/,1083.48 USD,(-) 34.45,VAT (3.45%): 37.41 USD,1097.27 USD,State Bank of Texas,Raf CAMP,16905185,SBININBB250
78,Template1_Instance168.jpg,29-Jul-2000,45,+(414)569-5914,zgraham@example.com,https://mason.com/,310.54 EUR,(-) 12.33,VAT (6.85%): 21.29 EUR,328.29 EUR,State Bank of England,Raf CAMP,15982634,SBININBB250
79,Template1_Instance169.jpg,13-Apr-2003,67,+(196)667-3026,kpatterson@example.org,http://clark.com/,257.73 USD,(-) 11.96,VAT (5.20%): 13.40 USD,258.81 USD,State Bank of Texas,Raf CAMP,18960779,SBININBB250
80,Template1_Instance17.jpg,16-Feb-2004,36,+(888)197-2951,pamjones@example.com,http://doyle-buckley.org/,197.07 EUR,(-) 8.59,VAT (6.08%): 11.98 EUR,205.29 EUR,State Bank of USA,Raf CAMP,13031947,SBININBB250
81,Template1_Instance170.jpg,22-Dec-2007,14,+(649)883-1934,charlesnguyen@example.net,http://pitts.com/,604.06 EUR,(-) 29.42,VAT (6.63%): 40.03 EUR,626.21 EUR,Central Bank of Europe,Raf CAMP,12187667,SBININBB250
82,Template1_Instance171.jpg,06-Nov-2020,19,+(444)202-9631,reevesralph@example.org,https://www.wilson.com/,968.32 USD,(-) 35.83,VAT (4.70%): 45.48 USD,973.61 USD,Central Bank of USA,Raf CAMP,10757168,SBININBB250
83,Template1_Instance172.jpg,31-May-1994,97,+(979)150-8652,rothandrew@example.com,http://www.ruiz.info/,714.32 $,(-) 11.36,VAT (6.52%): 46.59 $,750.48 $,Central Bank of England,Raf CAMP,14125124,SBININBB250
84,Template1_Instance173.jpg,16-Jun-2022,63,+(469)198-3047,andredoyle@example.net,http://www.fuller.com/,608.44 $,(-) 22.09,VAT (6.67%): 40.55 $,620.64 $,Central Bank of Europe,Raf CAMP,14484210,SBININBB250
85,Template1_Instance174.jpg,25-Apr-2021,59,+(084)727-3706,johnny58@example.com,http://www.harrison.biz/,524.28 EUR,(-) 22.65,VAT (4.33%): 22.71 EUR,521.25 EUR,Central Bank of Europe,Raf CAMP,16351098,SBININBB250
86,Template1_Instance175.jpg,03-Sep-1996,51,+(445)550-8759,chart@example.org,https://www.marks-mccarthy.com/,700.94 USD,(-) 26.92,VAT (3.57%): 25.04 USD,694.09 USD,Central Bank of England,Raf CAMP,18435009,SBININBB250
87,Template1_Instance176.jpg,17-Jul-2016,49,+(305)148-5058,michael96@example.net,https://taylor.com/,514.40 $,(-) 18.57,VAT (5.14%): 26.43 $,522.11 $,Central Bank of Texas,Raf CAMP,15422909,SBININBB250
88,Template1_Instance177.jpg,14-Jul-2009,01,+(163)419-9491,chavezamy@example.net,http://www.weaver.com/,526.54 $,(-) 23.54,VAT (3.28%): 17.30 $,535.57 $,Central Bank of Europe,Raf CAMP,18943554,SBININBB250
89,Template1_Instance178.jpg,22-Jun-2015,43,+(028)730-9623,ramirezpatrick@example.org,https://hall-nelson.com/,812.37 $,(-) 18.6,VAT (6.53%): 53.01 $,832.89 $,State Bank of Europe,Raf CAMP,10778796,SBININBB250
90,Template1_Instance179.jpg,29-Jul-2004,52,+(493)280-7230,uadams@example.org,http://www.brooks.org/,647.06 $,(-) 16.82,VAT (6.70%): 43.35 $,676.89 $,Central Bank of Europe,Raf CAMP,14100655,SBININBB250
91,Template1_Instance18.jpg,06-Apr-1994,91,+(183)928-6209,zbond@example.org,http://www.johnson.com/,1191.29 $,(-) 12.51,VAT (3.26%): 38.78 $,1210.29 $,Central Bank of Europe,Raf CAMP,17814939,SBININBB250
92,Template1_Instance180.jpg,10-Mar-1997,54,+(246)369-4417,gibbsheather@example.org,http://www.robinson.com/,589.02 USD,(-) 21.62,VAT (5.51%): 32.45 USD,603.15 USD,State Bank of Texas,Raf CAMP,14192058,SBININBB250
93,Template1_Instance181.jpg,04-Sep-2014,46,+(618)787-1930,russellteresa@example.com,http://armstrong-zuniga.net/,383.41 USD,(-) 11.54,VAT (4.65%): 17.83 USD,387.02 USD,State Bank of Europe,Raf CAMP,13658828,SBININBB250
94,Template1_Instance182.jpg,03-Nov-1997,84,+(030)729-8982,walkerjessica@example.org,https://www.curry.com/,156.64 USD,(-) 2.98,VAT (4.57%): 7.16 USD,162.12 USD,Central Bank of England,Raf CAMP,11943069,SBININBB250
95,Template1_Instance183.jpg,01-Aug-2007,14,+(148)134-0488,kevin49@example.com,https://www.zuniga-moore.com/,1942.43 USD,(-) 68.96,VAT (4.00%): 77.75 USD,1940.54 USD,Central Bank of California,Raf CAMP,14509879,SBININBB250
96,Template1_Instance184.jpg,09-Apr-2001,13,+(264)184-5400,olivertammy@example.org,https://www.rodriguez.info/,218.73 $,(-) 6.89,VAT (6.83%): 14.95 $,228.17 $,State Bank of USA,Raf CAMP,11969379,SBININBB250
97,Template1_Instance185.jpg,30-Jul-2021,40,+(301)011-9768,harrisongerald@example.org,https://newton.com/,727.40 USD,(-) 28.73,VAT (3.20%): 23.27 USD,731.32 USD,State Bank of California,Raf CAMP,11011580,SBININBB250
98,Template1_Instance186.jpg,11-Jun-2017,63,+(452)318-3573,shawnarias@example.com,http://hopkins.com/,416.18 USD,(-) 7.57,VAT (3.01%): 12.55 USD,407.92 USD,State Bank of USA,Raf CAMP,16724521,SBININBB250
99,Template1_Instance187.jpg,23-Nov-1996,56,+(754)001-8119,dannygraham@example.com,https://www.copeland.com/,660.34 $,(-) 32.69,VAT (3.55%): 23.47 $,660.76 $,Central Bank of England,Raf CAMP,19098782,SBININBB250
100,Template1_Instance188.jpg,07-Nov-2017,24,+(752)703-1152,melinda78@example.com,http://www.zimmerman-lewis.com/,250.65 $,(-) 3.89,VAT (4.95%): 12.41 $,254.59 $,Central Bank of USA,Raf CAMP,17019132,SBININBB250
101,Template1_Instance189.jpg,07-Aug-2010,25,+(463)893-0347,christina14@example.org,http://www.gomez.com/,131.67 USD,(-) 5.81,VAT (4.72%): 6.22 USD,134.41 USD,Central Bank of Europe,Raf CAMP,16071939,SBININBB250
102,Template1_Instance19.jpg,22-May-2022,63,+(553)734-0642,zjohnson@example.com,https://smith.com/,150.79 $,(-) 7.06,VAT (5.84%): 8.80 $,153.53 $,State Bank of England,Raf CAMP,15655075,SBININBB250
103,Template1_Instance190.jpg,17-Dec-1998,59,+(580)384-7629,bentonkevin@example.org,https://www.williams.net/,818.64 EUR,(-) 21.04,VAT (3.77%): 30.84 EUR,826.48 EUR,Central Bank of England,Raf CAMP,12746348,SBININBB250
104,Template1_Instance191.jpg,12-Dec-2013,17,+(191)722-5149,david07@example.net,http://www.yates.com/,847.10 USD,(-) 8.73,VAT (3.60%): 30.52 USD,851.11 USD,State Bank of California,Raf CAMP,12466566,SBININBB250
105,Template1_Instance192.jpg,14-Sep-2019,87,+(122)584-9292,johnsonchristopher@example.org,https://www.mcconnell.com/,403.93 USD,(-) 13.77,VAT (4.37%): 17.66 USD,408.91 USD,Central Bank of California,Raf CAMP,13263511,SBININBB250
106,Template1_Instance193.jpg,29-Jul-2014,64,+(110)741-3335,wuanthony@example.net,https://www.young.com/,687.90 EUR,(-) 16.03,VAT (4.35%): 29.94 EUR,704.36 EUR,Central Bank of California,Raf CAMP,16126119,SBININBB250
107,Template1_Instance194.jpg,06-Nov-1996,85,+(292)730-6252,qcole@example.net,https://www.villa-thornton.com/,617.28 EUR,(-) 15.49,VAT (3.76%): 23.19 EUR,613.25 EUR,State Bank of USA,Raf CAMP,12064533,SBININBB250
108,Template1_Instance195.jpg,04-May-2019,30,+(348)969-9998,amandasmith@example.org,https://hunt-garza.com/,855.79 $,(-) 9.67,VAT (3.41%): 29.15 $,868.42 $,State Bank of Europe,Raf CAMP,12645431,SBININBB250
109,Template1_Instance196.jpg,16-May-2008,87,+(447)970-6825,acollins@example.net,https://adkins.com/,360.36 USD,(-) 11.96,VAT (4.44%): 16.01 USD,368.73 USD,Central Bank of England,Raf CAMP,13086426,SBININBB250
110,Template1_Instance197.jpg,21-Dec-2014,99,+(651)236-6819,raymondtaylor@example.com,https://carpenter.biz/,473.53 USD,(-) 6.16,VAT (5.39%): 25.51 USD,493.97 USD,Central Bank of England,Raf CAMP,15706965,SBININBB250
111,Template1_Instance198.jpg,12-Jun-1993,15,+(674)951-6593,jennifercruz@example.com,https://www.hughes-villarreal.com/,670.27 $,(-) 7.71,VAT (5.06%): 33.94 $,684.84 $,State Bank of California,Raf CAMP,15846767,SBININBB250
112,Template1_Instance199.jpg,25-Sep-1998,57,+(507)364-8087,walkersusan@example.net,https://cline.com/,1069.48 $,(-) 46.84,VAT (5.43%): 58.13 $,1092.74 $,State Bank of California,Raf CAMP,19233856,SBININBB250
113,Template1_Instance2.jpg,19-Jul-2001,46,+(081)577-2718,davidherrera@example.org,https://young-robinson.com/,106.84 EUR,(-) 3.4,VAT (3.25%): 3.47 EUR,107.48 EUR,Central Bank of England,Raf CAMP,12308351,SBININBB250
